resource_type	resource	recommendation	authority	rationale
worktree	/tmp/cs-m6-t8-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t9-admit	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t9-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-u0-repreflight	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-u1-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-u10-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-u11-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-u12-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-u2-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-u3-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-u4-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-u5-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-u6-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-u7-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-u8-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-u9-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-v-w1	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-v-w1-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-v-w1-plan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-v3-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6c5	preserve-owner-review	separate	worktree is locked or dirty
worktree	/tmp/cs-m6c5-v2	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-m6i11	preserve-owner-review	separate	worktree is locked or dirty
worktree	/tmp/cs-m6i11-accept	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-m6i11-admit	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-m6i12-preflight	preserve-owner-review	separate	worktree is locked or dirty
worktree	/tmp/cs-m6i13-impl	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-m6i13-probe	preserve-owner-review	separate	worktree is locked or dirty
worktree	/tmp/cs-m6i14-impl	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-m6i14-probe	preserve-owner-review	separate	worktree is locked or dirty
worktree	/tmp/cs-m6i15-impl	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-m6i15-probe	preserve-owner-review	separate	worktree is locked or dirty
worktree	/tmp/cs-m6i16-impl	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-m6i16-probe	preserve-owner-review	separate	worktree is locked or dirty
worktree	/tmp/cs-m6i3-accept	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6i4-preflight	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6i7-accept	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-m6i7-admission	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6i7-admission-v2	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-m6i7-plan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6i89-acceptance	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-m6i89-preflight	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-m6s-preflight	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-p1-concurrency	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-p1-dependency	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-p1-launcher	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-p1-rust-api	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-p1-rust-cross	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-p1-rust-dependency	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-p1-rust-release	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-p1-rust-tooling	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-p1b-concurrency	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-parent-compaction	preserve-owner-review	separate	worktree is locked or dirty
worktree	/tmp/cs-parent-compaction-v2	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-policy-impact-foundation	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-policy-impact-owner-closure	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-post-m6-i2-audit	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-post-p1-plan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-post-ve072-audit	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ppr-c2-final	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-ppr-compaction-replan	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-ppr-numeric-engine	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-ppr-numeric-replan	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-recovery-m5	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-row47-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-row47-worktree	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-security-close	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-security-hs1	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-security-hs2a	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-security-hs2b	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-security-hs2c	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-security-integrate	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-security-plan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-security-replan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-tooling-owner-audit	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve050-heading-policy	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve054-option1	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve055-option4	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve055-probes	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve056-s-preflight	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve057-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve057-select	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve05758-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve058-containment-replan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve058-select	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve070-plan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve072-plan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve074	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve075	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-ve078-e1	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-ve078-plan	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-ve081-cap	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-ve083	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-ve083-impl	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-ve083-probe	preserve-owner-review	separate	worktree is locked or dirty
worktree	/tmp/cs-verification-engine	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verification-engine-m1	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verification-engine-m2	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verification-engine-m2p1	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-all-bash	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-release-freeze	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-release-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-rust-api-freeze	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-rust-api-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-rust-dependency-freeze	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-rust-dependency-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-shared-contracts	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-standalone-freeze	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-tooling-freeze	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-tooling-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-tooling-reference-freeze	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-tooling-reference-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-typescript-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-verifier-verification-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-work-proportionality-impact	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-work-slice-proportionality	map-then-review-removal	separate	head is patch-equivalent to main
