train_order	package_id	subject	owner	risk	semantic_outcome	write_set	prerequisites	verification	state
49	M6-W6-ROW31	checker:evaluation/standards-effectiveness/verify-milestone-7-row-31-decomposition.sh	topics/diagnostics.md	consolidation	milestone-7-row-31-decomposition-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md,evaluation/standards-effectiveness/suites/milestone-7-row-31-decomposition.toml,evaluation/standards-effectiveness/verify-milestone-7-row-31-decomposition.sh,evaluation/standards-effectiveness/milestone-7-execution-decomposition.tsv,evaluation/standards-effectiveness/milestone-7-row-31-owner-validation.tsv,evaluation/standards-effectiveness/milestone-7-row-31-decomposition.md,evaluation/standards-effectiveness/milestone-7-execution-train.tsv,evaluation/standards-effectiveness/consolidation-dispositions.tsv	M6-EDGE-1,VE026,VE028,VE031	focused-suite,edge-dispositions,engine-tests,graph-freshness,declarative-all,removed-paths,complete-suite	accepted
50	M6-W6-VERIFICATION-OWNER	checker:evaluation/standards-effectiveness/verify-verification-ownership.sh	workflows/verification.md	consolidation	verification-ownership-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md,evaluation/standards-effectiveness/suites/verification-ownership.toml,evaluation/standards-effectiveness/verify-verification-ownership.sh,evaluation/standards-effectiveness/README.md	M6-EDGE-1,VE026,VE028,VE031	focused-suite,edge-free,engine-tests,graph-freshness,declarative-all,removed-paths,readme-route,complete-suite	accepted
51	M6-W6-GUI-SMOKE	checker:evaluation/standards-effectiveness/verify-gui-smoke-evidence.sh	workflows/verification.md	consolidation	gui-smoke-evidence-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md,evaluation/standards-effectiveness/suites/gui-smoke-evidence.toml,evaluation/standards-effectiveness/verify-gui-smoke-evidence.sh,evaluation/standards-effectiveness/fixtures/verification/gui-smoke-decisions.tsv,evaluation/standards-effectiveness/consolidation-dispositions.tsv,evaluation/standards-effectiveness/README.md	M6-EDGE-1,VE026,VE028,VE031	focused-suite,edge-dispositions,engine-tests,graph-freshness,declarative-all,removed-paths,readme-route,complete-suite	accepted
52	M6-K1	checker:evaluation/standards-effectiveness/verify-metadata-fixtures.sh	evaluation/standards-effectiveness/metadata-schema.md	safety-critical	module-metadata-graph-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/metadata-fixtures.toml,evaluation/standards-effectiveness/metadata-schema.md,evaluation/standards-effectiveness/information-architecture.md,evaluation/standards-effectiveness/verify-metadata-fixtures.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/fixtures/metadata/valid-profile.md,evaluation/standards-effectiveness/fixtures/metadata/invalid-specialization-role.md,evaluation/standards-effectiveness/fixtures/metadata/invalid-missing-specialization.md,evaluation/standards-effectiveness/fixtures/metadata/invalid-self-specialization.md,evaluation/standards-effectiveness/fixtures/metadata/invalid-specialization-cycle-a.md,evaluation/standards-effectiveness/fixtures/metadata/invalid-specialization-cycle-b.md,evaluation/standards-effectiveness/fixtures/metadata/invalid-combined-cycle-a.md,evaluation/standards-effectiveness/fixtures/metadata/invalid-combined-cycle-b.md,evaluation/standards-effectiveness/fixtures/metadata/invalid-relation-empty-item.md,evaluation/standards-effectiveness/fixtures/metadata/invalid-relation-duplicate.md,evaluation/standards-effectiveness/fixtures/metadata/invalid-relation-none-mixed.md,evaluation/standards-effectiveness/fixtures/metadata/invalid-unquoted-id.md,evaluation/standards-effectiveness/fixtures/metadata/invalid-empty-verification.md,tools/standards_verifier/standards_verifier/checks/metadata.py,tools/standards_verifier/standards_verifier/checks/__init__.py,tools/standards_verifier/tests/test_metadata.py,tools/standards_verifier/README.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,docs/plans/standards-verification-engine/reports/metadata-kernel-audit.md,plans/standards-library-effectiveness-restructure-plan.md	M6-EDGE-1,VE030,VE034,VE035,VE036	focused-suite,edge-dispositions,engine-tests,graph-freshness,declarative-all,removed-paths,complete-suite	accepted
53	M6-K2	checker:evaluation/standards-effectiveness/verify-release-reference-closure.sh	reference/recipes/releases.md	consolidation	release-reference-closure-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/release-reference-closure.toml,evaluation/standards-effectiveness/verify-release-reference-closure.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-EDGE-1,M6-K1,VE030	focused-suite,edge-dispositions,graph-freshness,declarative-all,removed-paths,readme-route,complete-suite	accepted
54	M6-K3	checker:evaluation/standards-effectiveness/verify-release-recovery-policy.sh	workflows/release.md	consolidation	release-recovery-policy-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/release-recovery-policy.toml,evaluation/standards-effectiveness/verify-release-recovery-policy.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-EDGE-1,M6-K1,M6-K2,VE030,VE037	focused-suite,dependency-once,edge-dispositions,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-K-W1	accepted
55	M6-K4	checker:evaluation/standards-effectiveness/verify-release-maintenance-policy.sh	workflows/release.md	consolidation	release-maintenance-policy-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/release-maintenance-policy.toml,evaluation/standards-effectiveness/verify-release-maintenance-policy.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-K3,VE030,VE037	focused-suite,dependency-once,edge-dispositions,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-K-W1	accepted
56	M6-K5	checker:evaluation/standards-effectiveness/verify-release-pipeline-policy.sh	workflows/release.md	consolidation	release-pipeline-policy-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/release-pipeline-policy.toml,evaluation/standards-effectiveness/verify-release-pipeline-policy.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-K4,VE030,VE037	focused-suite,dependency-once,edge-dispositions,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-K-W1	accepted
57	M6-K6	checker:evaluation/standards-effectiveness/verify-release-artifact-policy.sh	workflows/release.md	consolidation	release-artifact-policy-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/release-artifact-policy.toml,evaluation/standards-effectiveness/verify-release-artifact-policy.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-K5,VE030,VE037	focused-suite,dependency-once,typed-unavailable,edge-dispositions,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-K-W1	accepted
58	M6-K7	checker:evaluation/standards-effectiveness/verify-release-publication-policy.sh	workflows/release.md	consolidation	release-publication-policy-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/release-publication-policy.toml,evaluation/standards-effectiveness/verify-release-publication-policy.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-K6,VE030,VE037	focused-suite,dependency-once,edge-dispositions,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-K-W1	accepted
59	M6-L1	checker:evaluation/standards-effectiveness/verify-documentation-changelog-closure.sh	workflows/release.md	consolidation	documentation-changelog-closure-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/documentation-changelog-closure.toml,evaluation/standards-effectiveness/verify-documentation-changelog-closure.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-K7,VE030,VE037,VE039	focused-suite,dependency-once,edge-dispositions,lifecycle-transfer,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-L-W1	accepted
60	M6-L2	checker:evaluation/standards-effectiveness/verify-documentation-reference.sh	reference/recipes/documentation.md	consolidation	documentation-reference-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/documentation-reference.toml,evaluation/standards-effectiveness/verify-documentation-reference.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-L1,VE030,VE037,VE039	focused-suite,dependency-once,edge-dispositions,lifecycle-transfer,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-L-W1	accepted
61	M6-L3	checker:evaluation/standards-effectiveness/verify-release-workflow-foundation.sh	workflows/release.md	consolidation	release-workflow-foundation-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/release-workflow-foundation.toml,evaluation/standards-effectiveness/verify-release-workflow-foundation.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-L2,VE030,VE037,VE039	focused-suite,dependency-once,edge-dispositions,lifecycle-transfer,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-L-W1	accepted
62	M6-L4	checker:evaluation/standards-effectiveness/verify-rust-dependency-owner-contract.sh	profiles/languages/rust/dependencies.md	consolidation	rust-dependency-owner-contract-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/rust-dependency-owner-contract.toml,evaluation/standards-effectiveness/verify-rust-dependency-owner-contract.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv,evaluation/standards-effectiveness/verify-root-readme-consumer-audit.sh,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-L3,VE030,VE037,VE039	focused-suite,dependency-once,edge-dispositions,lifecycle-transfer,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-L-W1	accepted
63	M6-L5	checker:evaluation/standards-effectiveness/verify-rust-release-owner-contract.sh	profiles/languages/rust/release.md	consolidation	rust-release-owner-contract-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/rust-release-owner-contract.toml,evaluation/standards-effectiveness/verify-rust-release-owner-contract.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv,evaluation/standards-effectiveness/verify-root-readme-consumer-audit.sh,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-L4,VE030,VE037,VE039	focused-suite,dependency-once,edge-dispositions,lifecycle-transfer,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-L-W1	accepted
64	M6-L6	checker:evaluation/standards-effectiveness/verify-rust-tooling-owner-contract.sh	profiles/languages/rust/tooling.md	consolidation	rust-tooling-owner-contract-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/rust-tooling-owner-contract.toml,evaluation/standards-effectiveness/verify-rust-tooling-owner-contract.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv,evaluation/standards-effectiveness/verify-root-readme-consumer-audit.sh,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-L5,VE030,VE037,VE039	focused-suite,dependency-once,edge-dispositions,lifecycle-transfer,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-L-W1	accepted
65	M6-L7	checker:evaluation/standards-effectiveness/verify-rust-dependency-candidate-inspection.sh	profiles/languages/rust/dependencies.md	consolidation	rust-dependency-candidate-inspection-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/rust-dependency-candidate-inspection.toml,evaluation/standards-effectiveness/verify-rust-dependency-candidate-inspection.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv,evaluation/standards-effectiveness/verify-root-readme-consumer-audit.sh,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/milestone-7-source-package-preparation.tsv,evaluation/standards-effectiveness/verify-milestone-7-source-package-preparation.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-L6,VE030,VE037,VE039	focused-suite,dependency-once,edge-dispositions,lifecycle-transfer,source-package-transfer,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-L-W1	accepted
66	M6-M1	checker:evaluation/standards-effectiveness/verify-rust-async-blocking-mutex.sh	profiles/languages/rust/async.md	consolidation	rust-async-blocking-mutex-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/rust-async-blocking-mutex.toml,evaluation/standards-effectiveness/verify-rust-async-blocking-mutex.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv,evaluation/standards-effectiveness/verify-root-readme-consumer-audit.sh,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-L7,VE030,VE037,VE039	focused-suite,dependency-once,edge-dispositions,lifecycle-transfer,affected-lifecycle,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-M-W1	accepted
67	M6-M2	checker:evaluation/standards-effectiveness/verify-rust-async-cancellation-observability.sh	profiles/languages/rust/async.md	consolidation	rust-async-cancellation-observability-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/rust-async-cancellation-observability.toml,evaluation/standards-effectiveness/verify-rust-async-cancellation-observability.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv,evaluation/standards-effectiveness/verify-root-readme-consumer-audit.sh,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-M1,VE030,VE037,VE039	focused-suite,dependency-once,edge-dispositions,lifecycle-transfer,affected-lifecycle,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-M-W1	accepted
68	M6-M3	checker:evaluation/standards-effectiveness/verify-rust-interop-memory.sh	profiles/languages/rust/interop.md	consolidation	rust-interop-memory-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/rust-interop-memory.toml,evaluation/standards-effectiveness/verify-rust-interop-memory.sh,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv,evaluation/standards-effectiveness/verify-root-readme-consumer-audit.sh,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-M2,VE030,VE037,VE039,VE040	focused-suite,dependency-once,edge-dispositions,lifecycle-transfer,affected-lifecycle,legacy-index-no-fallback,graph-freshness,declarative-all,removed-paths,readme-route,source-unchanged,wave-checkpoint-deferred:M6-M-W1	accepted
