id	path	line	level	target_role	disposition	heading
STD-0329	DEPENDENCY-STANDARDS.md	457	2	topic	split	Auditing Dependencies
STD-0330	DEPENDENCY-STANDARDS.md	459	3	topic	split	Security Auditing
STD-0331	DEPENDENCY-STANDARDS.md	469	3	topic	split	Detecting Unused Dependencies
STD-0332	DEPENDENCY-STANDARDS.md	485	3	topic	split	Manual Usage Verification
STD-0333	DEPENDENCY-STANDARDS.md	497	3	topic	split	Detecting Duplicate Versions
STD-0334	DEPENDENCY-STANDARDS.md	514	3	topic	split	Identifying Heavy Dependencies
STD-0335	DEPENDENCY-STANDARDS.md	525	1	topic	split	Bundle size analysis
STD-0336	DEPENDENCY-STANDARDS.md	528	1	topic	split	Individual package size
STD-0337	DEPENDENCY-STANDARDS.md	536	3	topic	split	Periodic Manual Review
STD-0338	DEPENDENCY-STANDARDS.md	549	2	topic	split	CI Integration
STD-0339	DEPENDENCY-STANDARDS.md	551	3	topic	split	CI Tool Bootstrap Ownership
STD-0340	DEPENDENCY-STANDARDS.md	571	3	topic	split	Recommended CI Checks
STD-0341	DEPENDENCY-STANDARDS.md	581	3	topic	split	Example CI Workflow
STD-0342	DEPENDENCY-STANDARDS.md	584	1	topic	split	.github/workflows/dependency-checks.yml
STD-0343	DEPENDENCY-STANDARDS.md	610	3	topic	split	Blocking vs. Warning
STD-0344	DEPENDENCY-STANDARDS.md	622	2	topic	split	Common Mistakes
STD-0345	DEPENDENCY-STANDARDS.md	648	2	topic	split	Dependency Review Checklist
STD-0346	DEPENDENCY-STANDARDS.md	650	3	topic	split	Adding a Dependency
STD-0347	DEPENDENCY-STANDARDS.md	663	3	topic	split	Removing a Dependency
STD-0348	DEPENDENCY-STANDARDS.md	671	3	topic	split	Periodic Review
STD-0349	DOCUMENTATION-STANDARDS.md	1	1	workflow	split	Documentation Standards
STD-0350	DOCUMENTATION-STANDARDS.md	5	2	workflow	split	Directory Documentation
STD-0351	DOCUMENTATION-STANDARDS.md	7	3	workflow	split	Requirement
STD-0352	DOCUMENTATION-STANDARDS.md	15	3	workflow	split	Why
STD-0353	DOCUMENTATION-STANDARDS.md	21	2	workflow	split	Documentation Artifact Layout
STD-0354	DOCUMENTATION-STANDARDS.md	57	3	workflow	split	README Template
STD-0355	DOCUMENTATION-STANDARDS.md	64	1	workflow	split	[Directory Name]
STD-0356	DOCUMENTATION-STANDARDS.md	66	2	workflow	split	Purpose
STD-0357	DOCUMENTATION-STANDARDS.md	69	2	workflow	split	Contents
STD-0358	DOCUMENTATION-STANDARDS.md	75	2	workflow	split	Problem
STD-0359	DOCUMENTATION-STANDARDS.md	78	2	workflow	split	Constraints
STD-0360	DOCUMENTATION-STANDARDS.md	81	2	workflow	split	Decision
STD-0361	DOCUMENTATION-STANDARDS.md	84	2	workflow	split	Alternatives Rejected
STD-0362	DOCUMENTATION-STANDARDS.md	88	2	workflow	split	Invariants
STD-0363	DOCUMENTATION-STANDARDS.md	92	2	workflow	split	Revisit Triggers
STD-0364	DOCUMENTATION-STANDARDS.md	95	2	workflow	split	Dependencies
STD-0365	DOCUMENTATION-STANDARDS.md	99	2	workflow	split	Related ADRs
STD-0366	DOCUMENTATION-STANDARDS.md	106	2	workflow	split	Usage Examples
STD-0367	DOCUMENTATION-STANDARDS.md	109	2	workflow	split	API Consumer Contract
STD-0368	DOCUMENTATION-STANDARDS.md	115	2	workflow	split	Structured Producer Contract
STD-0369	DOCUMENTATION-STANDARDS.md	123	3	workflow	split	Required Section Completion Rule
STD-0370	DOCUMENTATION-STANDARDS.md	138	2	workflow	split	Alternatives Rejected
STD-0371	DOCUMENTATION-STANDARDS.md	144	3	workflow	split	Banned Placeholder Language
STD-0372	DOCUMENTATION-STANDARDS.md	159	3	workflow	split	Host-Facing Module Contract Requirement
STD-0373	DOCUMENTATION-STANDARDS.md	171	3	workflow	split	Structured Producer Contract Requirement
STD-0374	DOCUMENTATION-STANDARDS.md	184	3	workflow	split	Minimum Meaningful Content by Section
STD-0375	DOCUMENTATION-STANDARDS.md	201	3	workflow	split	Keeping READMEs Current
STD-0376	DOCUMENTATION-STANDARDS.md	213	2	workflow	split	Code Comments
STD-0377	DOCUMENTATION-STANDARDS.md	215	3	workflow	split	When to Comment
STD-0378	DOCUMENTATION-STANDARDS.md	229	3	workflow	split	When NOT to Comment
STD-0379	DOCUMENTATION-STANDARDS.md	244	3	workflow	split	TODO Format
STD-0380	DOCUMENTATION-STANDARDS.md	258	3	workflow	split	Comment Style
STD-0381	DOCUMENTATION-STANDARDS.md	274	1	workflow	split	Python - Docstring
STD-0382	DOCUMENTATION-STANDARDS.md	290	2	workflow	split	Markdown Formatting
STD-0383	DOCUMENTATION-STANDARDS.md	292	3	workflow	split	Fenced Code Blocks
STD-0384	DOCUMENTATION-STANDARDS.md	305	3	workflow	split	Tables
STD-0385	DOCUMENTATION-STANDARDS.md	328	2	workflow	split	API Documentation
STD-0386	DOCUMENTATION-STANDARDS.md	330	3	workflow	split	Public Interfaces
STD-0387	DOCUMENTATION-STANDARDS.md	356	3	workflow	split	What to Document
STD-0388	DOCUMENTATION-STANDARDS.md	368	2	workflow	split	Algorithm Documentation
STD-0389	DOCUMENTATION-STANDARDS.md	372	3	workflow	split	Required Elements
STD-0390	DOCUMENTATION-STANDARDS.md	375	1	workflow	split	Topological Sort Algorithm
STD-0391	DOCUMENTATION-STANDARDS.md	380	2	workflow	split	Reference
STD-0392	DOCUMENTATION-STANDARDS.md	383	2	workflow	split	Preconditions
STD-0393	DOCUMENTATION-STANDARDS.md	387	2	workflow	split	Postconditions
STD-0394	DOCUMENTATION-STANDARDS.md	391	2	workflow	split	Complexity
STD-0395	DOCUMENTATION-STANDARDS.md	395	2	workflow	split	Error Cases
STD-0396	DOCUMENTATION-STANDARDS.md	399	3	workflow	split	When to Document Algorithms
STD-0397	DOCUMENTATION-STANDARDS.md	409	3	workflow	split	Minimal Documentation
STD-0398	DOCUMENTATION-STANDARDS.md	416	2	workflow	split	Complexity
STD-0399	DOCUMENTATION-STANDARDS.md	420	3	workflow	split	ASCII Diagrams
STD-0400	DOCUMENTATION-STANDARDS.md	437	2	workflow	split	Architecture Decision Records (ADRs)
STD-0401	DOCUMENTATION-STANDARDS.md	439	3	workflow	split	When to Write an ADR
STD-0402	DOCUMENTATION-STANDARDS.md	446	3	workflow	split	ADR Format
STD-0403	DOCUMENTATION-STANDARDS.md	449	1	workflow	split	ADR-001: [Title]
STD-0404	DOCUMENTATION-STANDARDS.md	451	2	workflow	split	Status
STD-0405	DOCUMENTATION-STANDARDS.md	454	2	workflow	split	Context
STD-0406	DOCUMENTATION-STANDARDS.md	457	2	workflow	split	Decision
STD-0407	DOCUMENTATION-STANDARDS.md	460	2	workflow	split	Consequences
STD-0408	DOCUMENTATION-STANDARDS.md	463	3	workflow	split	Positive
STD-0409	DOCUMENTATION-STANDARDS.md	467	3	workflow	split	Negative
STD-0410	DOCUMENTATION-STANDARDS.md	471	3	workflow	split	Neutral
STD-0411	DOCUMENTATION-STANDARDS.md	475	3	workflow	split	ADR Example
STD-0412	DOCUMENTATION-STANDARDS.md	478	1	workflow	split	ADR-003: Use Event Sourcing for Order History
STD-0413	DOCUMENTATION-STANDARDS.md	480	2	workflow	split	Status
STD-0414	DOCUMENTATION-STANDARDS.md	483	2	workflow	split	Context
STD-0415	DOCUMENTATION-STANDARDS.md	487	2	workflow	split	Decision
STD-0416	DOCUMENTATION-STANDARDS.md	492	2	workflow	split	Consequences
STD-0417	DOCUMENTATION-STANDARDS.md	494	3	workflow	split	Positive
STD-0418	DOCUMENTATION-STANDARDS.md	499	3	workflow	split	Negative
STD-0419	DOCUMENTATION-STANDARDS.md	504	3	workflow	split	Neutral
STD-0420	DOCUMENTATION-STANDARDS.md	508	3	workflow	split	Where to Store ADRs
STD-0421	DOCUMENTATION-STANDARDS.md	521	2	workflow	split	Changelog
STD-0422	DOCUMENTATION-STANDARDS.md	526	3	workflow	split	When to Maintain
STD-0423	DOCUMENTATION-STANDARDS.md	530	3	workflow	split	Format (Keep a Changelog)
STD-0424	DOCUMENTATION-STANDARDS.md	533	1	workflow	split	Changelog
STD-0425	DOCUMENTATION-STANDARDS.md	537	2	workflow	split	[Unreleased]
STD-0426	DOCUMENTATION-STANDARDS.md	539	3	workflow	split	Added
STD-0427	DOCUMENTATION-STANDARDS.md	542	3	workflow	split	Changed
STD-0428	DOCUMENTATION-STANDARDS.md	545	3	workflow	split	Deprecated
STD-0429	DOCUMENTATION-STANDARDS.md	548	3	workflow	split	Removed
STD-0430	DOCUMENTATION-STANDARDS.md	551	3	workflow	split	Fixed
STD-0431	DOCUMENTATION-STANDARDS.md	554	3	workflow	split	Security
STD-0432	DOCUMENTATION-STANDARDS.md	557	2	workflow	split	[1.2.0] - 2024-01-15
STD-0433	DOCUMENTATION-STANDARDS.md	559	3	workflow	split	Added
STD-0434	DOCUMENTATION-STANDARDS.md	562	2	workflow	split	[1.1.0] - 2024-01-01
STD-0435	DOCUMENTATION-STANDARDS.md	564	3	workflow	split	Fixed
STD-0436	DOCUMENTATION-STANDARDS.md	568	3	workflow	split	Categories
STD-0437	DOCUMENTATION-STANDARDS.md	581	2	workflow	split	README.md (Project Root)
STD-0438	DOCUMENTATION-STANDARDS.md	583	3	workflow	split	Required Sections
STD-0439	DOCUMENTATION-STANDARDS.md	586	1	workflow	split	Project Name
STD-0440	DOCUMENTATION-STANDARDS.md	590	2	workflow	split	Quick Start
STD-0441	DOCUMENTATION-STANDARDS.md	597	2	workflow	split	Installation
STD-0442	DOCUMENTATION-STANDARDS.md	601	2	workflow	split	Usage
STD-0443	DOCUMENTATION-STANDARDS.md	605	2	workflow	split	Development
STD-0444	DOCUMENTATION-STANDARDS.md	612	2	workflow	split	Project Structure
STD-0445	DOCUMENTATION-STANDARDS.md	616	2	workflow	split	Contributing
STD-0446	DOCUMENTATION-STANDARDS.md	620	2	workflow	split	License
STD-0447	DOCUMENTATION-STANDARDS.md	625	3	workflow	split	Keep It Current
STD-0448	DOCUMENTATION-STANDARDS.md	634	2	workflow	split	Documentation Review Checklist
STD-0449	FRONTEND-STANDARDS.md	1	1	profile	refine	Frontend Standards
STD-0450	FRONTEND-STANDARDS.md	5	2	profile	refine	Scope
STD-0451	FRONTEND-STANDARDS.md	16	2	profile	refine	Rendering and DOM Updates
STD-0452	FRONTEND-STANDARDS.md	18	3	profile	refine	Prefer Declarative Rendering
STD-0453	FRONTEND-STANDARDS.md	43	2	profile	refine	UI State Synchronization
STD-0454	FRONTEND-STANDARDS.md	69	3	profile	refine	Hook/Composable Timer Management
STD-0455	FRONTEND-STANDARDS.md	97	2	profile	refine	Frontend Tooling Notes
STD-0456	FRONTEND-STANDARDS.md	99	3	profile	refine	React 19+ ESLint Configuration
STD-0457	FRONTEND-STANDARDS.md	114	2	profile	refine	Frontend Testing
STD-0458	FRONTEND-STANDARDS.md	116	3	profile	refine	Selector Strategy
STD-0459	FRONTEND-STANDARDS.md	147	3	profile	refine	Accessibility and Tests
STD-0460	FRONTEND-STANDARDS.md	157	3	profile	refine	`userEvent` vs `fireEvent`
STD-0461	FRONTEND-STANDARDS.md	190	3	profile	refine	DOM Geometry in Tests
STD-0462	FRONTEND-STANDARDS.md	198	3	profile	refine	Polling Cleanup Tests
STD-0463	FRONTEND-STANDARDS.md	215	3	profile	refine	Embedded Interactive Control Checks
STD-0464	FRONTEND-STANDARDS.md	230	2	profile	refine	Accessibility
STD-0465	INTEROP-STANDARDS.md	1	1	topic	refine	Interop Standards
STD-0466	INTEROP-STANDARDS.md	5	2	topic	refine	Boundaries
STD-0467	INTEROP-STANDARDS.md	21	2	topic	refine	Core Principles
STD-0468	INTEROP-STANDARDS.md	23	3	topic	refine	1. Validate at Every Boundary Crossing
STD-0469	INTEROP-STANDARDS.md	40	3	topic	refine	2. Copy Data Out of Foreign Buffers Immediately
STD-0470	INTEROP-STANDARDS.md	48	3	topic	refine	3. Symmetric Init/Shutdown
STD-0471	INTEROP-STANDARDS.md	64	3	topic	refine	4. Document Thread Requirements
STD-0472	INTEROP-STANDARDS.md	78	3	topic	refine	5. Isolate Unsafe Code to Thin Wrappers
STD-0473	INTEROP-STANDARDS.md	85	3	topic	refine	6. Event Subscription Lifecycle
STD-0474	INTEROP-STANDARDS.md	109	2	topic	refine	Cross-Language Contract Maintenance
STD-0475	INTEROP-STANDARDS.md	114	3	topic	refine	Rules
STD-0476	INTEROP-STANDARDS.md	121	3	topic	refine	Validate Received Messages
STD-0477	INTEROP-STANDARDS.md	136	2	topic	refine	Serialization Format Alignment
STD-0478	INTEROP-STANDARDS.md	142	3	topic	refine	Tagged Enum Alignment
STD-0479	INTEROP-STANDARDS.md	149	3	topic	refine	Enum Variant Alignment
STD-0480	INTEROP-STANDARDS.md	155	3	topic	refine	Struct Field Alignment
STD-0481	INTEROP-STANDARDS.md	160	3	topic	refine	Rules
STD-0482	INTEROP-STANDARDS.md	172	2	topic	refine	When These Rules Apply
STD-0483	LANGUAGE-BINDINGS-STANDARDS.md	1	1	boundary-profile	refine	Language Bindings Standards
STD-0484	LANGUAGE-BINDINGS-STANDARDS.md	16	2	boundary-profile	refine	Core Principles
STD-0485	LANGUAGE-BINDINGS-STANDARDS.md	28	2	boundary-profile	refine	Layer Model
STD-0486	LANGUAGE-BINDINGS-STANDARDS.md	54	2	boundary-profile	refine	Language-Specific Extensions
STD-0487	LAUNCHER-STANDARDS.md	1	1	application-profile	split	Launcher Standards
STD-0488	LAUNCHER-STANDARDS.md	5	2	application-profile	split	Scope
STD-0489	LAUNCHER-STANDARDS.md	24	2	application-profile	split	Core CLI Contract
STD-0490	LAUNCHER-STANDARDS.md	26	3	application-profile	split	Required Flags
STD-0491	LAUNCHER-STANDARDS.md	37	3	application-profile	split	Parsing Rules
STD-0492	LAUNCHER-STANDARDS.md	49	3	application-profile	split	Canonical Usage
STD-0493	LAUNCHER-STANDARDS.md	61	1	application-profile	split	Recommended workflow extensions when applicable
STD-0494	LAUNCHER-STANDARDS.md	69	2	application-profile	split	Workflow Extensions (Required When Applicable)
STD-0495	LAUNCHER-STANDARDS.md	93	3	application-profile	split	GUI CI Smoke Requirements
STD-0496	LAUNCHER-STANDARDS.md	128	2	application-profile	split	Dependency Installation Standards (`--install`)
STD-0497	LAUNCHER-STANDARDS.md	130	3	application-profile	split	Per-Dependency Idempotent Behavior
STD-0498	LAUNCHER-STANDARDS.md	143	3	application-profile	split	Dependency Model
STD-0499	LAUNCHER-STANDARDS.md	152	3	application-profile	split	Output Requirements
STD-0500	LAUNCHER-STANDARDS.md	163	2	application-profile	split	Build Standards (`--build`)
STD-0501	LAUNCHER-STANDARDS.md	178	2	application-profile	split	Runtime Standards (`--run`, `--run-release`)
STD-0502	LAUNCHER-STANDARDS.md	180	3	application-profile	split	`--run` (Development Runtime)
STD-0503	LAUNCHER-STANDARDS.md	192	3	application-profile	split	`--run-release` (Release Runtime)
STD-0504	LAUNCHER-STANDARDS.md	211	2	application-profile	split	Managed State Standards
STD-0505	LAUNCHER-STANDARDS.md	249	2	application-profile	split	Help Standards (`--help`)
STD-0506	LAUNCHER-STANDARDS.md	266	2	application-profile	split	Exit Codes
STD-0507	LAUNCHER-STANDARDS.md	279	2	application-profile	split	Bash Implementation Rules
STD-0508	LAUNCHER-STANDARDS.md	293	2	application-profile	split	Desktop Entry and Script Generation Safety
STD-0509	LAUNCHER-STANDARDS.md	307	1	application-profile	split	BAD: Raw interpolation into command string
STD-0510	LAUNCHER-STANDARDS.md	310	1	application-profile	split	GOOD: Validate first, then escape for destination format using shared helpers
STD-0511	LAUNCHER-STANDARDS.md	318	2	application-profile	split	Reference Template
STD-0512	LAUNCHER-STANDARDS.md	548	2	application-profile	split	Compliance Checklist
STD-0513	PLAN-STANDARDS.md	1	1	workflow	replace	Plan Standards
STD-0514	PLAN-STANDARDS.md	6	2	workflow	replace	Purpose
STD-0515	PLAN-STANDARDS.md	11	2	workflow	replace	Scope
STD-0516	PLAN-STANDARDS.md	31	2	workflow	replace	When a Plan Is Required
STD-0517	PLAN-STANDARDS.md	40	2	workflow	replace	Plan Inputs
STD-0518	PLAN-STANDARDS.md	58	2	workflow	replace	Clarifying Questions
STD-0519	PLAN-STANDARDS.md	68	2	workflow	replace	Required Plan Structure
STD-0520	PLAN-STANDARDS.md	105	2	workflow	replace	Large Refactor Plans
STD-0521	PLAN-STANDARDS.md	139	2	workflow	replace	Recommendations
STD-0522	PLAN-STANDARDS.md	148	2	workflow	replace	Execution Order
STD-0523	PLAN-STANDARDS.md	161	2	workflow	replace	Worktree Hygiene
STD-0524	PLAN-STANDARDS.md	181	2	workflow	replace	Commit Timing During Plan Execution
STD-0525	PLAN-STANDARDS.md	197	2	workflow	replace	Concurrent Worker Execution
STD-0526	PLAN-STANDARDS.md	256	2	workflow	replace	Re-Plan Triggers
STD-0527	PLAN-STANDARDS.md	271	2	workflow	replace	Unexpected Issues During Execution
STD-0528	PLAN-STANDARDS.md	293	2	workflow	replace	Plan Updates During Execution
STD-0529	PLAN-STANDARDS.md	309	2	workflow	replace	Completion Summary
STD-0530	PLAN-STANDARDS.md	318	2	workflow	replace	Brevity Default
STD-0531	RELEASE-STANDARDS.md	1	1	workflow	split	Release Standards
STD-0532	RELEASE-STANDARDS.md	5	2	workflow	split	Semantic Versioning
STD-0533	RELEASE-STANDARDS.md	9	3	workflow	split	Version Bump Decision Table
STD-0534	RELEASE-STANDARDS.md	18	3	workflow	split	Pre-1.0 Rules
STD-0535	RELEASE-STANDARDS.md	32	3	workflow	split	Deprecation Policy
STD-0536	RELEASE-STANDARDS.md	51	3	workflow	split	Migration Guides
STD-0537	RELEASE-STANDARDS.md	68	3	workflow	split	Workspace Version Alignment
STD-0538	RELEASE-STANDARDS.md	78	2	workflow	split	Changelog Management
STD-0539	RELEASE-STANDARDS.md	84	3	workflow	split	Maintenance Workflow
STD-0540	RELEASE-STANDARDS.md	90	3	workflow	split	Conventional Commits to Changelog Categories
STD-0541	RELEASE-STANDARDS.md	110	3	workflow	split	Automation
STD-0542	RELEASE-STANDARDS.md	116	1	workflow	split	cliff.toml (minimal)
STD-0543	RELEASE-STANDARDS.md	153	2	workflow	split	Release Artifacts
STD-0544	RELEASE-STANDARDS.md	155	3	workflow	split	What to Ship
STD-0545	RELEASE-STANDARDS.md	166	3	workflow	split	Naming Convention
STD-0546	RELEASE-STANDARDS.md	199	3	workflow	split	Checksum File Format
STD-0547	RELEASE-STANDARDS.md	216	3	workflow	split	Software Bill of Materials
STD-0548	RELEASE-STANDARDS.md	235	2	workflow	split	Reproducible Builds
STD-0549	RELEASE-STANDARDS.md	240	3	workflow	split	Toolchain Pinning
STD-0550	RELEASE-STANDARDS.md	252	3	workflow	split	Lockfile Policy
STD-0551	RELEASE-STANDARDS.md	265	3	workflow	split	Build Hygiene
STD-0552	RELEASE-STANDARDS.md	275	2	workflow	split	CI/CD Release Pipeline
STD-0553	RELEASE-STANDARDS.md	277	3	workflow	split	Trigger
STD-0554	RELEASE-STANDARDS.md	287	1	workflow	split	.github/workflows/release.yml
STD-0555	RELEASE-STANDARDS.md	296	1	workflow	split	.github/workflows/ci.yml
STD-0556	RELEASE-STANDARDS.md	315	3	workflow	split	Build Matrix
STD-0557	RELEASE-STANDARDS.md	322	1	workflow	split	Target values are ecosystem-specific (see Naming Convention above)
STD-0558	RELEASE-STANDARDS.md	338	3	workflow	split	Artifact Upload
STD-0559	RELEASE-STANDARDS.md	355	3	workflow	split	Release Job
STD-0560	RELEASE-STANDARDS.md	394	3	workflow	split	Code Signing
STD-0561	RELEASE-STANDARDS.md	405	2	workflow	split	Hotfix and LTS Workflow
STD-0562	RELEASE-STANDARDS.md	407	3	workflow	split	Standard Releases
STD-0563	RELEASE-STANDARDS.md	412	3	workflow	split	Hotfix Workflow
STD-0564	RELEASE-STANDARDS.md	425	3	workflow	split	LTS Releases
STD-0565	RELEASE-STANDARDS.md	438	2	workflow	split	Feature Flags and Release Channels
STD-0566	RELEASE-STANDARDS.md	455	2	workflow	split	GitHub Releases
STD-0567	RELEASE-STANDARDS.md	457	3	workflow	split	Draft-Then-Publish
STD-0568	RELEASE-STANDARDS.md	466	3	workflow	split	Pre-Release Flag
STD-0569	RELEASE-STANDARDS.md	472	3	workflow	split	Release Notes
STD-0570	RELEASE-STANDARDS.md	481	3	workflow	split	Asset Organization
STD-0571	RELEASE-STANDARDS.md	487	2	workflow	split	Downloads
STD-0572	RELEASE-STANDARDS.md	489	3	workflow	split	Binaries
STD-0573	RELEASE-STANDARDS.md	494	3	workflow	split	Shared Libraries
STD-0574	RELEASE-STANDARDS.md	498	3	workflow	split	Checksums
STD-0575	RELEASE-STANDARDS.md	504	2	workflow	split	Language-Specific Guidance
STD-0576	RELEASE-STANDARDS.md	512	2	workflow	split	Release Checklist
STD-0577	RELEASE-STANDARDS.md	539	2	workflow	split	Rollback Procedure
STD-0578	RELEASE-STANDARDS.md	541	3	workflow	split	When to Rollback
STD-0579	RELEASE-STANDARDS.md	547	3	workflow	split	Procedure
STD-0580	RELEASE-STANDARDS.md	558	3	workflow	split	Authority
STD-0581	RELEASE-STANDARDS.md	563	3	workflow	split	Post-Incident
STD-0582	SECURITY-STANDARDS.md	1	1	topic	refine	Security Standards
STD-0583	SECURITY-STANDARDS.md	5	2	topic	refine	Core Principle: Validate Once, at the Boundary
STD-0584	SECURITY-STANDARDS.md	17	2	topic	refine	Path Validation
STD-0585	SECURITY-STANDARDS.md	19	3	topic	refine	The Problem
STD-0586	SECURITY-STANDARDS.md	24	3	topic	refine	Centralized Path Validator
STD-0587	SECURITY-STANDARDS.md	81	3	topic	refine	Usage in Handlers
STD-0588	SECURITY-STANDARDS.md	100	2	topic	refine	Input Validation
STD-0589	SECURITY-STANDARDS.md	102	3	topic	refine	Centralized Input Validator
STD-0590	SECURITY-STANDARDS.md	143	3	topic	refine	Validation Rules
STD-0591	SECURITY-STANDARDS.md	153	3	topic	refine	No Duplicate Validation Logic
STD-0592	SECURITY-STANDARDS.md	171	2	topic	refine	Message/API Payload Validation
STD-0593	SECURITY-STANDARDS.md	173	3	topic	refine	TypeScript — Validate Before Dispatch
STD-0594	SECURITY-STANDARDS.md	198	3	topic	refine	C# — Validate Deserialized Payloads
STD-0595	SECURITY-STANDARDS.md	216	3	topic	refine	Electron IPC Boundaries (`ipcMain.handle`)
STD-0596	SECURITY-STANDARDS.md	256	2	topic	refine	Network Transport Safety
STD-0597	SECURITY-STANDARDS.md	264	3	topic	refine	Bind Address Rules
STD-0598	SECURITY-STANDARDS.md	279	3	topic	refine	Connection Limits
STD-0599	SECURITY-STANDARDS.md	289	3	topic	refine	Graceful Listener Shutdown
STD-0600	SECURITY-STANDARDS.md	306	3	topic	refine	Half-Open Connection Handling
STD-0601	SECURITY-STANDARDS.md	324	2	topic	refine	What NOT to Validate
STD-0602	TESTING-STANDARDS.md	1	1	workflow	split	Testing Standards
STD-0603	TESTING-STANDARDS.md	5	2	workflow	split	Test Organization
STD-0604	TESTING-STANDARDS.md	7	3	workflow	split	Choose a Consistent Test Placement Strategy
STD-0605	TESTING-STANDARDS.md	23	1	workflow	split	Colocated
STD-0606	TESTING-STANDARDS.md	34	1	workflow	split	Mirrored test tree
STD-0607	TESTING-STANDARDS.md	62	3	workflow	split	Test Naming Convention
STD-0608	TESTING-STANDARDS.md	88	2	workflow	split	Test Categories
STD-0609	TESTING-STANDARDS.md	96	3	workflow	split	Unit Tests
STD-0610	TESTING-STANDARDS.md	102	3	workflow	split	Integration Tests
STD-0611	TESTING-STANDARDS.md	108	3	workflow	split	Global State and Durable Resource Isolation
STD-0612	TESTING-STANDARDS.md	141	3	workflow	split	End-to-End Tests
STD-0613	TESTING-STANDARDS.md	147	3	workflow	split	Cross-Layer Acceptance Checks
STD-0614	TESTING-STANDARDS.md	162	3	workflow	split	Boundary Invariant Tests
STD-0615	TESTING-STANDARDS.md	180	3	workflow	split	Vertical Slice Verification
STD-0616	TESTING-STANDARDS.md	214	3	workflow	split	Binding Verification Requirements
STD-0617	TESTING-STANDARDS.md	261	3	workflow	split	Replay, Recovery, and Idempotency Checks
STD-0618	TESTING-STANDARDS.md	277	2	workflow	split	Unit Test Guidelines
STD-0619	TESTING-STANDARDS.md	279	3	workflow	split	Test One Thing
STD-0620	TESTING-STANDARDS.md	292	3	workflow	split	Arrange-Act-Assert Pattern
STD-0621	TESTING-STANDARDS.md	317	3	workflow	split	Avoid Mocks When Possible
STD-0622	TESTING-STANDARDS.md	344	3	workflow	split	Test Edge Cases
STD-0623	TESTING-STANDARDS.md	358	2	workflow	split	Property-Based Testing
STD-0624	TESTING-STANDARDS.md	365	3	workflow	split	When to Use Property-Based Testing
STD-0625	TESTING-STANDARDS.md	374	2	workflow	split	Coverage Guidelines
STD-0626	TESTING-STANDARDS.md	376	3	workflow	split	Targets
STD-0627	TESTING-STANDARDS.md	384	3	workflow	split	What to Exclude from Coverage
STD-0628	TESTING-STANDARDS.md	392	3	workflow	split	Coverage is Not Quality
STD-0629	TESTING-STANDARDS.md	402	2	workflow	split	Test Documentation
STD-0630	TESTING-STANDARDS.md	404	3	workflow	split	Document Non-Obvious Tests
STD-0631	TESTING-STANDARDS.md	409	3	workflow	split	Document Test Fixtures
STD-0632	TESTING-STANDARDS.md	416	2	workflow	split	Test Data Management
STD-0633	TESTING-STANDARDS.md	418	3	workflow	split	Use Factories or Builders
STD-0634	TESTING-STANDARDS.md	439	3	workflow	split	Avoid Shared Mutable State
STD-0635	TESTING-STANDARDS.md	455	3	workflow	split	Validate Persisted Dynamic Artifacts
STD-0636	TESTING-STANDARDS.md	472	2	workflow	split	Async Testing
STD-0637	TESTING-STANDARDS.md	474	3	workflow	split	Always Await Async Operations
STD-0638	TESTING-STANDARDS.md	490	3	workflow	split	Test Both Success and Failure
STD-0639	TESTING-STANDARDS.md	503	3	workflow	split	Lifecycle Regression Checks
STD-0640	TESTING-STANDARDS.md	514	3	workflow	split	Service-Layer Error Paths
STD-0641	TESTING-STANDARDS.md	527	2	workflow	split	Frontend Component Testing
STD-0642	TESTING-STANDARDS.md	535	2	workflow	split	Performance Testing
STD-0643	TESTING-STANDARDS.md	537	3	workflow	split	Benchmark Critical Paths
STD-0644	TESTING-STANDARDS.md	543	3	workflow	split	Set Performance Budgets
STD-0645	TESTING-STANDARDS.md	559	2	workflow	split	Verification Layers
STD-0646	TESTING-STANDARDS.md	577	3	workflow	split	Layer 1: Static Analysis
STD-0647	TESTING-STANDARDS.md	588	3	workflow	split	Layer 2: Build Verification
STD-0648	TESTING-STANDARDS.md	592	3	workflow	split	Layer 3: Dev Server Validation
STD-0649	TESTING-STANDARDS.md	599	3	workflow	split	Layer 4: Runtime Verification
STD-0650	TESTING-STANDARDS.md	606	3	workflow	split	Layer 5: Reference Lookup
STD-0651	TESTING-STANDARDS.md	618	2	workflow	split	Diagnosis Workflow
STD-0652	TESTING-STANDARDS.md	658	2	workflow	split	Self-Correction Principles
STD-0653	TESTING-STANDARDS.md	670	2	workflow	split	Test Checklist
STD-0654	TOOLING-STANDARDS.md	1	1	workflow	split	Tooling Standards
STD-0655	TOOLING-STANDARDS.md	5	2	workflow	split	Pre-Commit Hooks
STD-0656	TOOLING-STANDARDS.md	7	3	workflow	split	Why Pre-Commit Hooks
STD-0657	TOOLING-STANDARDS.md	15	3	workflow	split	Recommended Tool: Lefthook
STD-0658	TOOLING-STANDARDS.md	21	1	workflow	split	npm
STD-0659	TOOLING-STANDARDS.md	24	1	workflow	split	Or standalone
STD-0660	TOOLING-STANDARDS.md	33	3	workflow	split	Basic Configuration
STD-0661	TOOLING-STANDARDS.md	38	1	workflow	split	lefthook.yml
STD-0662	TOOLING-STANDARDS.md	62	3	workflow	split	Hook Categories
