accepted_source	accepted_relation	accepted_consumer	accepted_declaration_source	accepted_fingerprint	proposed_source	proposed_relation	proposed_consumer	proposed_declaration_source	proposed_fingerprint	disposition
topic.contracts.declaration-and-semantic-authority	implementation-projection	tools/standards_engine/standards_engine/tools.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:5585a4d1b3b9332c0fd8c3a060653e38125fad15c9439f3490c28081f1367606	topic.contracts.declaration-and-semantic-authority	implementation-projection	tools/standards_engine/standards_engine/tools.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:5585a4d1b3b9332c0fd8c3a060653e38125fad15c9439f3490c28081f1367606	retain
topic.contracts.declaration-and-semantic-authority	normative-consumer	profile.boundary.generated-contract	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:64e25c80e5677f9a7904aa8270d3aeb8c7a3a6cdce575fc11fab80c5f6f68c66	topic.contracts.declaration-and-semantic-authority	normative-consumer	profile.boundary.generated-contract	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:64e25c80e5677f9a7904aa8270d3aeb8c7a3a6cdce575fc11fab80c5f6f68c66	retain
topic.contracts.declaration-and-semantic-authority	normative-consumer	profile.boundary.ipc	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:e81b8b145e071d973fbff3546a94b43ee88f5f5360d126fb07d2a66bcecdf8d5	topic.contracts.declaration-and-semantic-authority	normative-consumer	profile.boundary.ipc	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:e81b8b145e071d973fbff3546a94b43ee88f5f5360d126fb07d2a66bcecdf8d5	retain
topic.contracts.declaration-and-semantic-authority	normative-consumer	profile.boundary.language-bindings	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:c98bddb32ed28796fa53462eb03513bf998435f325e987aa1245a6e404252c8a	topic.contracts.declaration-and-semantic-authority	normative-consumer	profile.boundary.language-bindings	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:c98bddb32ed28796fa53462eb03513bf998435f325e987aa1245a6e404252c8a	retain
topic.contracts.declaration-and-semantic-authority	normative-consumer	workflow.build	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:889ced1c1d3e55981e82a2660c3530dcc5b1680d7c9fbd647d901f9797880cd9	topic.contracts.declaration-and-semantic-authority	normative-consumer	workflow.build	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:889ced1c1d3e55981e82a2660c3530dcc5b1680d7c9fbd647d901f9797880cd9	retain
topic.contracts.declaration-and-semantic-authority	prompt-projection	prompts/implement-plan.md	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:46a14e0699263f776916e25ee9d8c9e776946a2b66a30cc71a3c4b7739eb46f9	topic.contracts.declaration-and-semantic-authority	prompt-projection	prompts/implement-plan.md	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:46a14e0699263f776916e25ee9d8c9e776946a2b66a30cc71a3c4b7739eb46f9	retain
topic.contracts.declaration-and-semantic-authority	prompt-projection	prompts/planning.md	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:c91d52fc6b6697097381a761e6b8d1713d57bb4869f67b73f2cfceec1198a247	topic.contracts.declaration-and-semantic-authority	prompt-projection	prompts/planning.md	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:c91d52fc6b6697097381a761e6b8d1713d57bb4869f67b73f2cfceec1198a247	retain
topic.contracts.declaration-and-semantic-authority	template-projection	templates/PLAN-TEMPLATE.md	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:a4d4c4ea71731b3757a99bbefc8fd58d3d279e10f0f181441979e985ee3b7126	topic.contracts.declaration-and-semantic-authority	template-projection	templates/PLAN-TEMPLATE.md	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:a4d4c4ea71731b3757a99bbefc8fd58d3d279e10f0f181441979e985ee3b7126	retain
					topic.contracts.generated-semantic-conformance	documentation-projection	tools/standards_engine/contracts/README.md	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:62af806be36c9f69054813df31ad5b1fc825f59506b75826472fd7837cf35e15	add
topic.contracts.generated-semantic-conformance	enforcement-suite-projection	generated-contract-semantic-conformance	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:ade227cc7224d0d2a6625a3dd78429d33d0ea27016acf724525bc6dfd6c64721	topic.contracts.generated-semantic-conformance	enforcement-suite-projection	generated-contract-semantic-conformance	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:ade227cc7224d0d2a6625a3dd78429d33d0ea27016acf724525bc6dfd6c64721	retain
					topic.contracts.generated-semantic-conformance	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/a1b/python-package-imports.toml	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:393416c3f8eeeebf4a088c46f14751eed94d6928f5ce9100bb6866f54c1c5370	add
topic.contracts.generated-semantic-conformance	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/generated-contract-conformance-decisions.tsv	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:63ff72bea30ffe210a2cfddbcc19b09bfd2ae9080f7cc98aad2c4b59b694cde6	topic.contracts.generated-semantic-conformance	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/generated-contract-conformance-decisions.tsv	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:63ff72bea30ffe210a2cfddbcc19b09bfd2ae9080f7cc98aad2c4b59b694cde6	retain
					topic.contracts.generated-semantic-conformance	fixture-projection	tools/standards_engine/contracts/examples/a1-examples.json	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:b0f0c0d21ec7ce56688c910632a6ef8bc7218e6f1f821c4bf49be57a28e4ce45	add
					topic.contracts.generated-semantic-conformance	implementation-projection	tools/standards_contracts/standards_contracts/compiler.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:e05f9ec8018e075dff3cfd574272fb4c9f7a5bc2d7f04773aae7a0cd65909a1f	add
					topic.contracts.generated-semantic-conformance	implementation-projection	tools/standards_engine/contracts/a1-interface.toml	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:b73f649eaecd3c2cc997dd483d913431fc02d5562ebce4b35566aedd16d74d8d	add
topic.contracts.generated-semantic-conformance	implementation-projection	tools/standards_engine/contracts/generate_contract.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:60c24eacafaf72dca52cc90bf87fba91cdb4f2af239e4bf22b4e3df1b928cc81	topic.contracts.generated-semantic-conformance	implementation-projection	tools/standards_contracts/standards_contracts/projection.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:249f908cb21efce47c99693896e4636e6a8cb23fde48e46c0641f49abc8e9940	replace
					topic.contracts.generated-semantic-conformance	implementation-projection	tools/standards_engine/contracts/generated/agent-tools.json	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:90f20c776e33f417184c17725c159fd21b74ce1b3f6f81d70a6c2864a51ba594	add
topic.contracts.generated-semantic-conformance	implementation-projection	tools/standards_engine/standards_engine/__init__.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:cc98db96efcda1672fd3bd0cd43abe4ef8c425aff63f3e9e4c12fb92b7943aa3	topic.contracts.generated-semantic-conformance	implementation-projection	tools/standards_engine/standards_engine/__init__.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:cc98db96efcda1672fd3bd0cd43abe4ef8c425aff63f3e9e4c12fb92b7943aa3	retain
topic.contracts.generated-semantic-conformance	implementation-projection	tools/standards_engine/standards_engine/_generated_contract.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:c885ccc98a1f8eedb8bdeec131b249862de9ad34d8d44bd076dfffd4e7a54bf2	topic.contracts.generated-semantic-conformance	implementation-projection	tools/standards_engine/standards_engine/_generated_contract.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:c885ccc98a1f8eedb8bdeec131b249862de9ad34d8d44bd076dfffd4e7a54bf2	retain
					topic.contracts.generated-semantic-conformance	implementation-projection	tools/standards_engine/standards_engine/rendering.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:aca790cb2ff9d1cda0f217a68beb67d62601eaa5c857186c55edf503650fc874	add
topic.contracts.generated-semantic-conformance	implementation-projection	tools/standards_engine/standards_engine/tools.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:d0d30189a372addcab84e4830e734d78ff498bc0fcf281d0acb5468dc0cbcec1	topic.contracts.generated-semantic-conformance	implementation-projection	tools/standards_engine/standards_engine/tools.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:d0d30189a372addcab84e4830e734d78ff498bc0fcf281d0acb5468dc0cbcec1	retain
topic.contracts.generated-semantic-conformance	normative-consumer	profile.boundary.generated-contract	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:4147b5ea099c5fc2820985d3f8a46906d1e855591704f146d2ba601d10bcc8c9	topic.contracts.generated-semantic-conformance	normative-consumer	profile.boundary.generated-contract	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:4147b5ea099c5fc2820985d3f8a46906d1e855591704f146d2ba601d10bcc8c9	retain
topic.contracts.generated-semantic-conformance	normative-consumer	workflow.build	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:72e2b8654c6cc148973d831cfb92c045f1764201896c3bd946fbe49ea214ff98	topic.contracts.generated-semantic-conformance	normative-consumer	workflow.build	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:72e2b8654c6cc148973d831cfb92c045f1764201896c3bd946fbe49ea214ff98	retain
topic.contracts.generated-semantic-conformance	normative-consumer	workflow.tooling	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:e24d4e5b2ceee1296372ba822904cad93fcd77248640dd4e838c573b12110d60	topic.contracts.generated-semantic-conformance	normative-consumer	workflow.tooling	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:e24d4e5b2ceee1296372ba822904cad93fcd77248640dd4e838c573b12110d60	retain
topic.contracts.generated-semantic-conformance	prompt-projection	prompts/implement-plan.md	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:171b19926106516267f81791d3393e92a7709b593115735feb16fe185096b4a7	topic.contracts.generated-semantic-conformance	prompt-projection	prompts/implement-plan.md	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:171b19926106516267f81791d3393e92a7709b593115735feb16fe185096b4a7	retain
topic.contracts.generated-semantic-conformance	prompt-projection	prompts/planning.md	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:42281c8770c1f8f8c91cc2f141d711dcfc170c955acf5c9bb22390369f85f442	topic.contracts.generated-semantic-conformance	prompt-projection	prompts/planning.md	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:42281c8770c1f8f8c91cc2f141d711dcfc170c955acf5c9bb22390369f85f442	retain
topic.contracts.generated-semantic-conformance	router-projection	router	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:e7360160ebb71150072f6aa03b386c7ea26a7445a157b0dd2bbb541ef4bcf786	topic.contracts.generated-semantic-conformance	router-projection	router	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:e7360160ebb71150072f6aa03b386c7ea26a7445a157b0dd2bbb541ef4bcf786	retain
topic.contracts.identity-versus-instance-equality	documentation-projection	docs/plans/standards-engine-standards-recovery/reports/json-schema-instance-equality-reproduction.md	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:204922e483bbf1ccdb1f4518cc3f5c4436a47e6b409133bf4dc831e443dc4fb2	topic.contracts.identity-versus-instance-equality	documentation-projection	docs/plans/standards-engine-standards-recovery/reports/json-schema-instance-equality-reproduction.md	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:204922e483bbf1ccdb1f4518cc3f5c4436a47e6b409133bf4dc831e443dc4fb2	retain
					topic.contracts.identity-versus-instance-equality	documentation-projection	tools/standards_identity/README.md	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:bb0630ff31c4a7720bd4124f1b23b6a39571c3653550f9063700798a51a675b8	add
topic.contracts.identity-versus-instance-equality	enforcement-suite-projection	generated-contract-semantic-conformance	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:c3f91a1c00bc6353d199773b5e43ad4d16e6b856d01c1c7932cd9e30f6f29182	topic.contracts.identity-versus-instance-equality	enforcement-suite-projection	generated-contract-semantic-conformance	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:c3f91a1c00bc6353d199773b5e43ad4d16e6b856d01c1c7932cd9e30f6f29182	retain
					topic.contracts.identity-versus-instance-equality	fixture-projection	tools/standards_engine/contracts/identity-fixtures.json	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:474bd5b0bed804cfc6aecaeb47109813b976d189ccfbf44374d96ae48f8aa6c4	add
					topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_analysis/standards_analysis/coverage.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:5326ce83f44c93a88ad6b2fe512ecb5b09e3e6b2cfa3bb1e7abcbca04a4a0e8c	add
					topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_analysis/standards_analysis/impact.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:c178202da01c4488f8e30b94c95bb908bc50a039c275ee74447e938344fc654c	add
					topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_analysis/standards_analysis/keys.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:31952d74cde6f9cb3bc28456b3440e118cb1d0b5a95447765f17727518f9324c	add
					topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_analysis/standards_analysis/obligations.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:4d521b2f339c1f0bbd78c50cc70edd272aa360c593cdb86488cbf7a5f8d52841	add
					topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_analysis/standards_analysis/reading.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:4094e9486928f02c9b6f75eefaf0dc58c604a68197fa077999494cea0d85c4cd	add
topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_applicability/standards_applicability/core.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:0dd1eda6e9172104c6090647196f2a95ecdd34819aace79651ba85117d8c9bd9	topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_applicability/standards_applicability/core.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:0dd1eda6e9172104c6090647196f2a95ecdd34819aace79651ba85117d8c9bd9	retain
					topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_authority/standards_authority/repository.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:a7897c148684fb290213a595debad0a4edab60c32ad049004e07b6f39702f595	add
					topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_contracts/standards_contracts/runtime.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:651782dfb44f4531f2400736d4d4c6c4717661a20485efd1d0a0b2d61c488bb1	add
topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_engine/contracts/validate_contracts.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:7407a74590e6ee10de6bccccb5d7f3f08226075a6766720aa19eb380fb39d5a3						retire
topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_engine/standards_engine/_generated_contract.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:d79b886b114d6971d3b240f0fd2ba6a553f1d077a1f747800be878dd047e4409	topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_engine/standards_engine/_generated_contract.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:d79b886b114d6971d3b240f0fd2ba6a553f1d077a1f747800be878dd047e4409	retain
topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_engine/standards_engine/model.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:fae310f815a34451235beae7ec8c5ec1276db81916db00f86ee5a4bf5a91e71f						retire
					topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_identity/standards_identity/encoding.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:f90c4e6d3bb9977a3421539c9a48e5dbf468f00016130f59d57b6d92fabe3ad2	add
					topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_metadata/standards_metadata/__init__.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:926b53cb389d4d6ae1f3f6194223582e546ffa78c4df84d061527401779bafd3	add
					topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_metadata/standards_metadata/policy_units.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:3fc059d35be0410b05b85e1933a1dcf1b433c57c15204626c47a02f12db2880f	add
topic.contracts.identity-versus-instance-equality	implementation-projection	tools/standards_metadata/standards_metadata/serialization.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:eeb4abcec5fd58bad5344c26eac0d10812152077ccb865073b29a5fcde18c40e						retire
topic.contracts.schema-dialect-and-vocabulary	enforcement-suite-projection	generated-contract-semantic-conformance	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:67b45b01a6e740ac048bacec098128cd9bb85c141205699a5f9e0c49799cd642	topic.contracts.schema-dialect-and-vocabulary	enforcement-suite-projection	generated-contract-semantic-conformance	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:67b45b01a6e740ac048bacec098128cd9bb85c141205699a5f9e0c49799cd642	retain
topic.contracts.schema-dialect-and-vocabulary	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/generated-contract-conformance-decisions.tsv	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:d2fbd6ef9cebecd3de89008d08282c8af9c415671fe0d8c19dc4c5cdc9018899	topic.contracts.schema-dialect-and-vocabulary	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/generated-contract-conformance-decisions.tsv	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:d2fbd6ef9cebecd3de89008d08282c8af9c415671fe0d8c19dc4c5cdc9018899	retain
					topic.contracts.schema-dialect-and-vocabulary	implementation-projection	tools/standards_contracts/standards_contracts/compiler.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:6d3637e75c1b4d6abe45f1737310da7c34807e55d5e0e627afc8520e43ecfcec	add
topic.contracts.schema-dialect-and-vocabulary	implementation-projection	tools/standards_engine/contracts/a1-contract.schema.json	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:844ab2cd76cf21fb62ac91786a0f59c841cb355d0ae539aede78a570054df710	topic.contracts.schema-dialect-and-vocabulary	implementation-projection	tools/standards_engine/contracts/a1-contract.schema.json	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:844ab2cd76cf21fb62ac91786a0f59c841cb355d0ae539aede78a570054df710	retain
topic.contracts.schema-dialect-and-vocabulary	implementation-projection	tools/standards_engine/contracts/generate_contract.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:04dedcabaaece0e168ff030e71268bf2b6d4c7e3f812803ad8f71712ce59a724	topic.contracts.schema-dialect-and-vocabulary	implementation-projection	tools/standards_contracts/standards_contracts/projection.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:1ad693b3d80cbc219e9d64cc153de8b94a95301dce713e48c0393d06db1e120b	replace
topic.contracts.schema-dialect-and-vocabulary	implementation-projection	tools/standards_engine/contracts/validate_contracts.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:c58fb2ab0f5801a27de072db8507fa648f454b08ca90b09559516688eca902c9						retire
topic.contracts.schema-dialect-and-vocabulary	normative-consumer	profile.boundary.generated-contract	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:16ed578c1508f3321851094c40b2fb4ad830645aafe898dba7d9d29ab9de2cc8	topic.contracts.schema-dialect-and-vocabulary	normative-consumer	profile.boundary.generated-contract	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:16ed578c1508f3321851094c40b2fb4ad830645aafe898dba7d9d29ab9de2cc8	retain
topic.contracts.schema-dialect-and-vocabulary	normative-consumer	topic.dependencies	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:adf3a1743bc529d730c0550d7cf1aff73d44eca60eb24498dad3abc45011a1f1	topic.contracts.schema-dialect-and-vocabulary	normative-consumer	topic.dependencies	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:adf3a1743bc529d730c0550d7cf1aff73d44eca60eb24498dad3abc45011a1f1	retain
topic.contracts.version-scope-and-invalidation	enforcement-suite-projection	contract-authority-scope	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:4cb207a142c68b066448ddeece2d7bc3219fe971ee942d9462b24322131e05a9	topic.contracts.version-scope-and-invalidation	enforcement-suite-projection	contract-authority-scope	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:4cb207a142c68b066448ddeece2d7bc3219fe971ee942d9462b24322131e05a9	retain
topic.contracts.version-scope-and-invalidation	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/version-scope-decisions.tsv	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:a4b710bdee0ad86e5eae24d3ff7f27b0a4115288ce52c4867d75670fd2fff38b	topic.contracts.version-scope-and-invalidation	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/version-scope-decisions.tsv	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:a4b710bdee0ad86e5eae24d3ff7f27b0a4115288ce52c4867d75670fd2fff38b	retain
					topic.contracts.version-scope-and-invalidation	implementation-projection	tools/standards_analysis/standards_analysis/kernel.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:43a2993f1799547116a9f1df56dc74a62c99057aa4112bc82cff5fc2c196e8c4	add
topic.contracts.version-scope-and-invalidation	implementation-projection	tools/standards_analysis/standards_analysis/resolution.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:a652fbf3372991cc2c6b6c48ff997bbb2d6e7c697dcd0529b726f225698a1da3						retire
topic.contracts.version-scope-and-invalidation	implementation-projection	tools/standards_analysis/standards_analysis/snapshots.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:511dcc2f3d46f029024eb8a54dc7331c6be97697a2662914801ed1ec051bbf65						retire
					topic.contracts.version-scope-and-invalidation	implementation-projection	tools/standards_authority/standards_authority/snapshot.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:64890cd7298691e6121ec2316bdee18ee980bcb9f12813439e5916e29a54944f	add
topic.contracts.version-scope-and-invalidation	implementation-projection	tools/standards_engine/contracts/a1-contract.schema.json	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:cc13836bd66d6154155556f40d5d1174bc096ec3379452c6b5c45e26355ac02f	topic.contracts.version-scope-and-invalidation	implementation-projection	tools/standards_engine/contracts/a1-contract.schema.json	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:cc13836bd66d6154155556f40d5d1174bc096ec3379452c6b5c45e26355ac02f	retain
topic.contracts.version-scope-and-invalidation	implementation-projection	tools/standards_engine/contracts/generate_contract.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:1c8ab6c54215467d2144e1599cd4f279d25b967c494963d40751e291a9fd002a	topic.contracts.version-scope-and-invalidation	implementation-projection	tools/standards_contracts/standards_contracts/projection.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:91fc7aca4fc141186a082bd936a01ecfa41e8b4263d71dcfd849f0714ea79715	replace
topic.contracts.version-scope-and-invalidation	implementation-projection	tools/standards_engine/standards_engine/_generated_contract.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:8cace822c8b2435acaf6d25b4aa0f380547eac2d4916f0b6885063fd7f8f556b	topic.contracts.version-scope-and-invalidation	implementation-projection	tools/standards_engine/standards_engine/_generated_contract.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:8cace822c8b2435acaf6d25b4aa0f380547eac2d4916f0b6885063fd7f8f556b	retain
topic.contracts.version-scope-and-invalidation	implementation-projection	tools/standards_engine/standards_engine/tools.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:6db27dfa220fe102b42cff912df2a6b41931af2be64ccf89370a0b7956f3621f	topic.contracts.version-scope-and-invalidation	implementation-projection	tools/standards_engine/standards_engine/tools.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:6db27dfa220fe102b42cff912df2a6b41931af2be64ccf89370a0b7956f3621f	retain
topic.contracts.version-scope-and-invalidation	normative-consumer	profile.application.library	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:df1b85a30b4f27689e90b1efc109e882b5511ac8c5e4c08e2809b824d7d18fba	topic.contracts.version-scope-and-invalidation	normative-consumer	profile.application.library	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:df1b85a30b4f27689e90b1efc109e882b5511ac8c5e4c08e2809b824d7d18fba	retain
topic.contracts.version-scope-and-invalidation	normative-consumer	profile.boundary.generated-contract	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:5f3ff2211bc00d5762dd541dc93d95a20f3529998e0e688cc8d6a5504a2c1585	topic.contracts.version-scope-and-invalidation	normative-consumer	profile.boundary.generated-contract	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:5f3ff2211bc00d5762dd541dc93d95a20f3529998e0e688cc8d6a5504a2c1585	retain
topic.contracts.version-scope-and-invalidation	normative-consumer	profile.boundary.ipc	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:2837b3020829dc476cce96e296cecc202fbe925290cacaba240030c0c590b20e	topic.contracts.version-scope-and-invalidation	normative-consumer	profile.boundary.ipc	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:2837b3020829dc476cce96e296cecc202fbe925290cacaba240030c0c590b20e	retain
topic.contracts.version-scope-and-invalidation	normative-consumer	profile.boundary.language-bindings	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:8ab1c28ba839093deaeb9967fb7d67fd5e0db002ff928a4903c4ec1050ed1ea5	topic.contracts.version-scope-and-invalidation	normative-consumer	profile.boundary.language-bindings	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:8ab1c28ba839093deaeb9967fb7d67fd5e0db002ff928a4903c4ec1050ed1ea5	retain
topic.contracts.version-scope-and-invalidation	normative-consumer	profile.boundary.persistence	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:490bd6e58e2021db4fa2c76f4094dcba37468a7b29646fad1614fb824b42ba1d	topic.contracts.version-scope-and-invalidation	normative-consumer	profile.boundary.persistence	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:490bd6e58e2021db4fa2c76f4094dcba37468a7b29646fad1614fb824b42ba1d	retain
topic.contracts.version-scope-and-invalidation	normative-consumer	workflow.release	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:66b0d18ae69e54731d67341fc2eb6bf392b481f6b4e4f765efdfe36b36fad9b1	topic.contracts.version-scope-and-invalidation	normative-consumer	workflow.release	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:66b0d18ae69e54731d67341fc2eb6bf392b481f6b4e4f765efdfe36b36fad9b1	retain
